"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SPICEPREFIX";"VALUE";
"C1";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C2";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C3";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C5";"0.1uF";"0.1UF-25V-5%(0603)";"0603-CAP";"CAP-08604";"";"";"";"";"";"CAP-08604";"";"0.1uF";
"C6";"10uF";"10UF50V20%(1210)";"1210";"CAP-09824";"";"";"";"";"";"CAP-09824";"";"10uF";
"C7";"10uF";"10UF50V20%(1210)";"1210";"CAP-09824";"";"";"";"";"";"CAP-09824";"";"10uF";
"J1";"DCJ0202";"DCJ0202";"DCJ0202";"DC POWER JACK";"";"";"unknown";"unknown";"17";"";"";"";
"JP2";"53047-0210";"53047-0210";"53047-0210";"Molex Picoblade 3 way PCB Header";"";"";"";"";"";"";"B";"";
"L1";"3.3uH";"INDUCTOR0805-IND";"0805";"Inductors";"";"";"";"";"";"NDUC-13076";"";"";
"Q1";"MMBT4403";"TRANSISTOR_PNPMMBT4403";"SOT23-3";"Generic PNP BJT";"";"";"";"";"";"TRANS-09245";"";"MMBT4403";
"R1";"20k";"20KOHM1/10W1%(0603)";"0603-RES";"RES-09383";"";"";"";"";"";"RES-09383";"";"20k";
"R2";"8.2K";"8.2KOHM-1/10W-5%(0603)";"0603-RES";"RES-10646";"";"";"";"";"";"RES-10646";"";"";
"R3";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"";"";"RES-07863";"";"100";
"R4";"100";"100OHM-1/10W-1%(0603)";"0603-RES";"RES-07863";"";"";"";"";"";"RES-07863";"";"100";
"R5";"10K";"10KOHM-1/10W-1%(0603)0603";"0603-RES";"RES-00824";"";"";"";"";"";"RES-00824";"";"10K";
"SG2";"EFBRD24C411";"EFBRD24C411";"RS511-7620";"Piezoelectric Acoustic Transducer";"";"";"unknown";"unknown";"";"";"";"";
"SJ2";"";"JUMPER-PAD-2-NC_BY_TRACE";"PAD-JUMPER-2-NC_BY_TRACE_YES_SILK";"";"";"";"";"";"";"";"";"";
"SW1";"";"SW_DIP-2";"EDG-02";"DIP SWITCH";"";"";"";"";"";"";"";"";
"U$1";"53047-0410";"53047-0410";"53047-0410";"Molex Picoblade 4 way PCB Header";"";"";"";"";"";"";"";"";
"U$2";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS-D1-MINI";"WEMOS D1 mini: Mini Wi-Fi Board based on ESP-8266 device";"";"";"";"";"";"";"";"";
"U1";"HX711";"HX711HX711";"SO16";"";"";"";"";"";"";"IC-12445";"";"HX711";
"X1";"(4DSYSTEMS)FH12-30S-0.5SH";"(4DSYSTEMS)FH12-30S-0.5SH";"FH12-30S-0.5SH";"0.5mm Pitch Connectors For FPC/FFC";"";"FH12-30S-0.5SH(55)";"1324555";"34M6176";"";"";"";"";
